entry_month,PERMNO,weight
2022-09-01,13928,2.3522634340843954e-18
2022-09-01,16431,2.8640830924628064e-18
2022-09-01,17144,0.1
2022-09-01,17307,0.004455810970701674
2022-09-01,18224,1.1547706049036283e-18
2022-09-01,18411,0.1
2022-09-01,18592,0.0
2022-09-01,21371,1.9595313141340187e-18
2022-09-01,21792,2.0119679475249803e-18
2022-09-01,23536,0.06281150596443356
2022-09-01,24328,1.263693747964611e-18
2022-09-01,32942,1.2562822096761359e-18
2022-09-01,34833,1.1408475008331358e-20
2022-09-01,38093,0.0
2022-09-01,44644,0.0
2022-09-01,46674,0.0
2022-09-01,50876,0.04493592511880522
2022-09-01,52695,0.0
2022-09-01,64186,0.0
2022-09-01,64390,0.05101065488976018
2022-09-01,64899,0.08990737375211906
2022-09-01,76082,0.006472391524282464
2022-09-01,76712,1.5837133833491264e-18
2022-09-01,76744,0.03665376374986669
2022-09-01,80191,0.0
2022-09-01,81061,2.755742284553061e-18
2022-09-01,82486,0.07559403864446007
2022-09-01,84262,0.0
2022-09-01,85059,0.0
2022-09-01,85269,3.474952666110767e-19
2022-09-01,85459,0.030086293686559643
2022-09-01,85792,2.7600039190689343e-19
2022-09-01,86136,1.690280716025558e-18
2022-09-01,86228,4.199615822266423e-18
2022-09-01,87137,0.0
2022-09-01,87356,0.07525241990006429
2022-09-01,90829,0.021141669002427567
2022-09-01,91611,0.026119734210622206
2022-09-01,91849,0.0
2022-09-01,91907,0.0
2022-09-01,91937,0.020041669662813073
2022-09-01,93096,0.053899790079594515
2022-10-01,11850,0.027466419775975262
2022-10-01,12623,5.02819933313834e-19
2022-10-01,12872,0.0
2022-10-01,13035,0.0
2022-10-01,13210,0.0014100998216558772
2022-10-01,13688,0.012434082650886979
2022-10-01,13928,1.1843638184983254e-18
2022-10-01,16431,0.0
2022-10-01,17144,0.09999999999999999
2022-10-01,17307,0.012934468303295697
2022-10-01,18224,7.625414107656839e-19
2022-10-01,21371,0.0
2022-10-01,22752,0.1
2022-10-01,24328,0.0
2022-10-01,24766,0.08867486473092347
2022-10-01,25320,0.1
2022-10-01,32942,0.0
2022-10-01,34833,1.5652110074075402e-18
2022-10-01,35554,0.0
2022-10-01,40539,0.0033948170092324755
2022-10-01,46674,2.185874399508129e-18
2022-10-01,48653,0.029502625252785866
2022-10-01,50876,0.007459371481415634
2022-10-01,64186,0.0
2022-10-01,64899,0.07561067157731252
2022-10-01,75591,0.0
2022-10-01,76605,6.785792698691014e-19
2022-10-01,76744,0.017323228110874014
2022-10-01,77274,0.1
2022-10-01,79686,0.0
2022-10-01,80191,1.3122657935337248e-18
2022-10-01,81061,0.0
2022-10-01,82486,0.07298296488215723
2022-10-01,85059,0.0
2022-10-01,85269,0.0
2022-10-01,86228,0.02176645685583371
2022-10-01,86288,3.2027374526869164e-18
2022-10-01,87137,9.051605832596267e-19
2022-10-01,87356,0.06145559976435898
2022-10-01,88031,7.845642673942957e-20
2022-10-01,90562,0.019759098534216684
2022-10-01,91611,0.031207749408493475
2022-10-01,91907,6.03510974918689e-21
2022-10-01,91937,1.6795604552868708e-18
2022-10-01,93096,0.039700301248932
2022-10-01,93429,0.07691718059165001
2022-11-01,11533,1.0709032294041338e-18
2022-11-01,11850,0.029061486756759014
2022-11-01,12623,0.06456292624949687
2022-11-01,12872,7.903620259908303e-19
2022-11-01,13035,0.0
2022-11-01,13210,0.002817670020197767
2022-11-01,13356,1.191472449024663e-18
2022-11-01,13641,0.0
2022-11-01,13928,3.3286210712781884e-19
2022-11-01,14277,0.0
2022-11-01,14579,0.0
2022-11-01,14939,0.012335392971779748
2022-11-01,16431,0.043193117379256886
2022-11-01,21371,0.0
2022-11-01,24766,0.1
2022-11-01,32942,0.0
2022-11-01,34833,0.0
2022-11-01,36003,0.014129242406619977
2022-11-01,41080,0.0014763395664597855
2022-11-01,46674,0.0
2022-11-01,48653,0.1
2022-11-01,50876,0.07780997658759897
2022-11-01,64186,0.0
2022-11-01,76605,0.016879868740515003
2022-11-01,76712,0.0
2022-11-01,77274,0.1
2022-11-01,79103,0.1
2022-11-01,79686,9.248295763400885e-19
2022-11-01,80191,1.3411302080923674e-18
2022-11-01,81061,0.07125733475874388
2022-11-01,82276,0.0
2022-11-01,82486,0.1
2022-11-01,82694,0.0
2022-11-01,85059,0.0
2022-11-01,85792,1.1446701863107328e-18
2022-11-01,86288,0.0
2022-11-01,87137,9.25219894250748e-19
2022-11-01,87356,0.1
2022-11-01,89031,1.7989969376319544e-18
2022-11-01,89195,3.9831490713948383e-19
2022-11-01,89393,0.0
2022-11-01,90071,6.151035546317552e-19
2022-11-01,91611,0.02603769043425426
2022-11-01,91907,0.0
2022-11-01,91937,0.04043895412831783
2022-11-01,92043,1.1552502862647621e-17
2022-12-01,11533,2.7884249156395767e-18
2022-12-01,12431,0.0
2022-12-01,13035,1.5374649579722095e-18
2022-12-01,13688,0.028105815080485978
2022-12-01,14714,2.5650880310921506e-19
2022-12-01,14939,0.01066852145864743
2022-12-01,16431,0.06408163080382218
2022-12-01,18576,4.810557641157628e-19
2022-12-01,19350,0.044477803674570944
2022-12-01,19561,0.0
2022-12-01,21371,0.1
2022-12-01,22779,9.26238470601433e-19
2022-12-01,28222,0.0879534206723149
2022-12-01,32942,8.625779527638841e-18
2022-12-01,40539,0.012092797649058056
2022-12-01,42585,0.1
2022-12-01,46674,5.59535998803933e-18
2022-12-01,52695,0.03389619570980936
2022-12-01,75591,0.007896198758309386
2022-12-01,76605,0.0360545238519741
2022-12-01,76712,0.0
2022-12-01,76841,0.016672748944058614
2022-12-01,77274,0.1
2022-12-01,77702,0.0
2022-12-01,79103,0.1
2022-12-01,79686,0.0
2022-12-01,79698,0.0
2022-12-01,82276,0.03956129837593889
2022-12-01,82486,0.1
2022-12-01,82694,0.0
2022-12-01,84381,4.374385361036518e-18
2022-12-01,85059,0.0
2022-12-01,85792,0.0
2022-12-01,86288,1.1301637016182524e-18
2022-12-01,87034,0.0
2022-12-01,89031,0.0
2022-12-01,89195,0.0
2022-12-01,89393,1.3266988807237194e-19
