entry_month,PERMNO,weight
2022-03-01,34746,0.0
2022-03-01,34833,1.280666642135174e-18
2022-03-01,35554,0.0
2022-03-01,38156,5.850130921383096e-19
2022-03-01,39490,4.256091492372799e-19
2022-03-01,64995,0.0
2022-03-01,75034,0.0
2022-03-01,75825,7.600529303515636e-19
2022-03-01,76082,0.07580836797245982
2022-03-01,81061,0.0
2022-03-01,81481,0.07714265054442296
2022-03-01,81774,0.0
2022-03-01,85269,6.680705116249812e-20
2022-03-01,85913,0.008447479343635345
2022-03-01,87137,6.024247493766676e-19
2022-03-01,88182,0.0
2022-03-01,89138,0.054079707686971165
2022-03-01,89269,2.049349285060828e-18
2022-03-01,90386,0.0
2022-03-01,90720,0.0
2022-03-01,90808,1.407032938697851e-18
2022-03-01,90829,1.0516904372208233e-19
2022-03-01,91041,0.0
2022-04-01,10516,0.007377464939254613
2022-04-01,11404,0.17085643275817686
2022-04-01,11850,0.022281822017981765
2022-04-01,12476,0.0
2022-04-01,12872,0.0
2022-04-01,13641,0.0
2022-04-01,13721,0.12318279940055372
2022-04-01,13928,2.234049398383217e-19
2022-04-01,14277,0.0
2022-04-01,14541,0.0
2022-04-01,14714,3.075894268835585e-18
2022-04-01,16678,0.14204360249427728
2022-04-01,17743,4.2975275370130996e-18
2022-04-01,21207,0.15286954175225306
2022-04-01,21776,4.25729347201852e-18
2022-04-01,23819,0.0
2022-04-01,24328,0.0009665062341918598
2022-04-01,27828,0.0
2022-04-01,32986,3.2905112418461432e-18
2022-04-01,34817,1.5221182062159777e-18
2022-04-01,34833,0.0
2022-04-01,38156,0.014562359161188771
2022-04-01,38762,0.0
2022-04-01,39490,3.790472438962994e-20
2022-04-01,48725,0.05137455410881911
2022-04-01,52695,0.003813396435874967
2022-04-01,64653,0.18734752873428714
2022-04-01,75034,1.1108837103240149e-18
2022-04-01,75825,0.0
2022-04-01,76744,0.028969388113237474
2022-04-01,81061,0.0
2022-04-01,81481,0.047039462523438276
2022-04-01,81774,0.0
2022-04-01,84262,3.527892225314161e-19
2022-04-01,85269,5.09807955128682e-19
2022-04-01,86136,1.1324830504789996e-18
2022-04-01,86580,5.728060305807206e-20
2022-04-01,87137,0.0
2022-04-01,88182,6.776263578034403e-19
2022-04-01,89138,0.0404924958828858
2022-04-01,89179,0.0
2022-04-01,89269,4.814005876601409e-18
2022-04-01,90386,0.0
2022-04-01,90829,2.704152684109354e-19
2022-04-01,93002,0.0
2022-04-01,93436,0.006822645443579269
2022-05-01,10516,0.0
2022-05-01,11404,0.09508783134299649
2022-05-01,11850,1.5246546798971617e-17
2022-05-01,12476,0.0
2022-05-01,12872,0.0
2022-05-01,13721,0.055888412959431304
2022-05-01,13901,0.049613495363532184
2022-05-01,13928,0.0
2022-05-01,14277,9.130440385138682e-20
2022-05-01,14541,0.0
2022-05-01,16600,0.01336191281520699
2022-05-01,16678,0.09601528985332713
2022-05-01,17743,0.0
2022-05-01,19393,0.12322987465910319
2022-05-01,21178,0.030224739656548153
2022-05-01,21207,0.1251037030903097
2022-05-01,21371,4.886694591432778e-19
2022-05-01,21776,0.0
2022-05-01,23819,0.0
2022-05-01,24328,1.6064149148518975e-19
2022-05-01,24766,0.010027671929114445
2022-05-01,27828,0.0
2022-05-01,32870,0.16455268410117307
2022-05-01,32986,2.909801230498073e-18
2022-05-01,34817,1.1977430104076291e-18
2022-05-01,34833,0.0
2022-05-01,38156,0.01667010667192764
2022-05-01,39490,0.0
2022-05-01,52090,0.0
2022-05-01,59248,0.0
2022-05-01,64899,0.07125055099092582
2022-05-01,75034,5.369087762394741e-22
2022-05-01,75825,3.5411281382690007e-19
2022-05-01,76082,0.009139939779463674
2022-05-01,76744,0.007974717900646645
2022-05-01,81061,3.2888234818285464e-19
2022-05-01,81481,0.03930957149424634
2022-05-01,81540,9.953825632922681e-19
2022-05-01,84262,0.0
2022-05-01,85269,5.224253419260414e-19
2022-05-01,86136,0.0
2022-05-01,87137,0.0
2022-05-01,89138,0.04000782032065746
2022-05-01,89155,0.05254167707138976
2022-05-01,90386,1.1842257715491974e-18
2022-05-01,90829,0.0
2022-06-01,10516,0.0
2022-06-01,11404,0.25110481789588895
2022-06-01,11850,0.0
2022-06-01,12345,2.7755951713230548e-18
2022-06-01,12476,0.0
2022-06-01,12558,0.0
2022-06-01,12872,6.46110769915425e-19
2022-06-01,13356,2.1475410714488004e-18
2022-06-01,13641,2.6894564286917943e-20
2022-06-01,13721,0.06339927729581761
2022-06-01,13901,0.10461509306701339
2022-06-01,13928,1.09135978623655e-19
2022-06-01,14008,0.0575064429793085
2022-06-01,14277,2.8981540408439773e-19
2022-06-01,14541,1.3780701618476457e-18
2022-06-01,16431,0.01694534705871977
2022-06-01,16736,0.012457472105126917
2022-06-01,17743,1.5763464184531458e-18
2022-06-01,19393,0.18188490733843513
2022-06-01,21178,0.03197201281783353
2022-06-01,21776,0.0
2022-06-01,23819,0.0
2022-06-01,24328,5.5746535762015796e-18
2022-06-01,24766,0.025411928792827377
2022-06-01,32986,3.1225706140044743e-19
2022-06-01,34833,0.0
2022-06-01,38156,0.014169174154920486
2022-06-01,38762,6.825069999826001e-19
2022-06-01,39490,0.0
2022-06-01,64186,0.0
2022-06-01,64390,0.09579810474072614
2022-06-01,75034,1.158183995734884e-18
2022-06-01,75825,5.625376902430873e-19
2022-06-01,76082,0.013159547764335823
2022-06-01,76744,0.02138556252670804
2022-06-01,81061,0.0
2022-06-01,81540,0.0
2022-06-01,84262,2.5486498160632286e-18
2022-06-01,85269,8.100210324714663e-19
2022-06-01,86136,0.0
2022-06-01,87137,0.0
2022-06-01,87356,0.050507325206264525
2022-06-01,89138,0.05968298625607359
2022-06-01,90071,0.0
2022-06-01,90386,1.1540300167170236e-18
2022-06-01,90829,3.789575205889022e-18
2022-07-01,10516,0.0
2022-07-01,11404,0.1535743988139382
2022-07-01,11850,0.0016564201352920085
2022-07-01,12476,0.0
2022-07-01,12623,0.005227820592910567
2022-07-01,12872,3.5469504666273827e-20
2022-07-01,13356,0.0
2022-07-01,13641,0.0
2022-07-01,13721,0.02886347367768874
2022-07-01,13928,3.441071348220595e-20
2022-07-01,14277,0.0
2022-07-01,14541,0.0
2022-07-01,16431,0.009667003637285159
2022-07-01,17144,0.18747550415758574
2022-07-01,17743,0.0
2022-07-01,17830,3.494010907423989e-19
2022-07-01,19393,0.13825075115883165
