entry_month,formation_month,PERMNO,Ticker,formation_ret,decile
2024-03-01,2024-02-01,89031,AXON,0.44366229527595585,10.0
2024-03-01,2024-02-01,91907,SMCI,2.1486118830504624,10.0
2024-03-01,2024-02-01,85059,FIX,0.6585214265694039,10.0
2024-03-01,2024-02-01,12060,GE,0.37253309777116883,10.0
2024-03-01,2024-02-01,16736,VST,0.7564871469533445,10.0
2024-03-01,2024-02-01,18726,CRWD,0.9882840545568774,10.0
2024-03-01,2024-02-01,24294,CRH,0.5271813016667184,10.0
2024-03-01,2024-02-01,13407,META,0.658230150127435,10.0
2024-03-01,2024-02-01,89731,LEN,0.39174393720934575,10.0
2024-03-01,2024-02-01,93002,AVGO,0.4234820397516528,10.0
2024-03-01,2024-02-01,91068,CMG,0.39557502152450436,10.0
2024-03-01,2024-02-01,90215,CRM,0.39447539460316244,10.0
2024-03-01,2024-02-01,85663,URI,0.4634238810322727,10.0
2024-03-01,2024-02-01,60506,PCAR,0.400240153378832,10.0
2024-03-01,2024-02-01,14714,ANET,0.4216058616667968,10.0
2024-03-01,2024-02-01,15826,SQ,0.3784901081954408,10.0
2024-03-01,2024-02-01,59459,TRV,0.38657538853926665,10.0
2024-03-01,2024-02-01,79686,DECK,0.6926979223063685,10.0
2024-03-01,2024-02-01,20894,APP,0.38176801676564637,10.0
2024-03-01,2024-02-01,88661,TPR,0.45740791514260043,10.0
2024-03-01,2024-02-01,19788,PLTR,0.6742333634752116,10.0
2024-03-01,2024-02-01,90071,NRG,0.4977777859620941,10.0
2024-03-01,2024-02-01,15315,GDDY,0.574265662951666,10.0
2024-03-01,2024-02-01,18576,UBER,0.6832516439229903,10.0
2024-03-01,2024-02-01,21723,HOOD,0.49770272893965334,10.0
2024-04-01,2024-03-01,12060,GE,0.588777165537643,10.0
2024-04-01,2024-03-01,70519,C,0.5717034084358532,10.0
2024-04-01,2024-03-01,89731,LEN,0.5191529220105768,10.0
2024-04-01,2024-03-01,60506,PCAR,0.514162177056058,10.0
2024-04-01,2024-03-01,53613,MU,0.7397927908399766,10.0
2024-04-01,2024-03-01,26403,DIS,0.514565390860942,10.0
2024-04-01,2024-03-01,18576,UBER,0.6740587617520932,10.0
2024-04-01,2024-03-01,13407,META,0.6191965303014015,10.0
2024-04-01,2024-03-01,24294,CRH,0.6154125872771574,10.0
2024-04-01,2024-03-01,20892,COIN,2.531171244505172,10.0
2024-04-01,2024-03-01,86580,NVDA,1.0774734633642296,10.0
2024-04-01,2024-03-01,15315,GDDY,0.5934480068867956,10.0
2024-04-01,2024-03-01,91068,CMG,0.5868124960503036,10.0
2024-04-01,2024-03-01,20189,DASH,0.732980036870275,10.0
2024-04-01,2024-03-01,22623,CEG,0.7018905837644238,10.0
2024-04-01,2024-03-01,93002,AVGO,0.6097111953762175,10.0
2024-04-01,2024-03-01,52708,LEN,0.5426251314502795,10.0
2024-04-01,2024-03-01,15826,SQ,0.9109803378277372,10.0
2024-04-01,2024-03-01,61241,AMD,0.7553969237325264,10.0
2024-04-01,2024-03-01,85059,FIX,0.8682093380989093,10.0
2024-04-01,2024-03-01,91907,SMCI,2.6832834344949434,10.0
2024-04-01,2024-03-01,81055,COF,0.5498097349589801,10.0
2024-04-01,2024-03-01,79686,DECK,0.8309238831681598,10.0
2024-04-01,2024-03-01,90071,NRG,0.7865429048084929,10.0
2024-04-01,2024-03-01,89393,NFLX,0.6083952535812573,10.0
2024-04-01,2024-03-01,85072,RL,0.6322293757975652,10.0
2024-04-01,2024-03-01,88661,TPR,0.6813673615183014,10.0
2024-04-01,2024-03-01,54148,PHM,0.6350689991846308,10.0
2024-04-01,2024-03-01,21723,HOOD,1.0519863774913993,10.0
2024-04-01,2024-03-01,77178,QCOM,0.541807377686109,10.0
2024-04-01,2024-03-01,46886,KLAC,0.5305112969474746,10.0
2024-04-01,2024-03-01,91152,TDG,0.5141353044348609,10.0
2024-04-01,2024-03-01,79323,ALL,0.5723813042663273,10.0
2024-04-01,2024-03-01,89031,AXON,0.5723410429704827,10.0
2024-04-01,2024-03-01,20894,APP,0.7322330178727652,10.0
2024-04-01,2024-03-01,18267,DELL,0.6731126304528912,10.0
2024-04-01,2024-03-01,85663,URI,0.6316566377608679,10.0
2024-04-01,2024-03-01,16655,CVNA,1.0940919918050476,10.0
2024-04-01,2024-03-01,59176,AXP,0.5373130498177479,10.0
2024-04-01,2024-03-01,48486,LRCX,0.5576303465261392,10.0
2024-04-01,2024-03-01,82694,EME,0.6673816175658369,10.0
2024-04-01,2024-03-01,16736,VST,1.118136592957458,10.0
2024-04-01,2024-03-01,18726,CRWD,0.9153415865727454,10.0
2024-04-01,2024-03-01,64995,KEY,0.5173471503869795,10.0
2024-04-01,2024-03-01,90720,BLDR,0.6752346232498307,10.0
2024-04-01,2024-03-01,49154,TGT,0.6304858096937918,10.0
2024-04-01,2024-03-01,77661,DHI,0.5378729570347376,10.0
2024-04-01,2024-03-01,83011,WSM,1.063885521081314,10.0
2024-04-01,2024-03-01,11990,KKR,0.6396790485759252,10.0
2024-04-01,2024-03-01,14714,ANET,0.5765773782516304,10.0
2024-05-01,2024-04-01,21723,HOOD,0.8041562009972256,10.0
2024-05-01,2024-04-01,82307,DVA,0.7999479283108211,10.0
2024-05-01,2024-04-01,81736,RMD,0.5240945446110548,10.0
2024-05-01,2024-04-01,12060,GE,0.876244953447664,10.0
2024-05-01,2024-04-01,70519,C,0.5875362422164108,10.0
2024-05-01,2024-04-01,11762,ETN,0.5417433772092897,10.0
2024-05-01,2024-04-01,18911,DDOG,0.5404443163665462,10.0
2024-05-01,2024-04-01,83011,WSM,0.9248650157119194,10.0
2024-05-01,2024-04-01,90455,MPWR,0.5204276002692216,10.0
2024-05-01,2024-04-01,77178,QCOM,0.5390752505384069,10.0
2024-05-01,2024-04-01,48486,LRCX,0.5279015738680548,10.0
2024-05-01,2024-04-01,85059,FIX,0.7049476890866482,10.0
